#SampleID	ERR209679_1_kneaddata_taxonomic_profile	ERR209680_1_kneaddata_taxonomic_profile	ERR209681_1_kneaddata_taxonomic_profile	ERR209684_1_kneaddata_taxonomic_profile	ERR209685_1_kneaddata_taxonomic_profile	ERR209690_1_kneaddata_taxonomic_profile	ERR209691_1_kneaddata_taxonomic_profile	ERR209692_1_kneaddata_taxonomic_profile	ERR209693_1_kneaddata_taxonomic_profile	ERR209695_1_kneaddata_taxonomic_profile	ERR209696_1_kneaddata_taxonomic_profile	ERR209697_1_kneaddata_taxonomic_profile	ERR209698_1_kneaddata_taxonomic_profile	ERR209699_1_kneaddata_taxonomic_profile	ERR209700_1_kneaddata_taxonomic_profile	ERR209701_1_kneaddata_taxonomic_profile	ERR209706_1_kneaddata_taxonomic_profile	ERR209707_1_kneaddata_taxonomic_profile	ERR209708_1_kneaddata_taxonomic_profile	ERR209709_1_kneaddata_taxonomic_profile	ERR209710_1_kneaddata_taxonomic_profile	ERR209711_1_kneaddata_taxonomic_profile	ERR209715_1_kneaddata_taxonomic_profile	ERR209716_1_kneaddata_taxonomic_profile	ERR209717_1_kneaddata_taxonomic_profile	ERR209729_1_kneaddata_taxonomic_profile	ERR209730_1_kneaddata_taxonomic_profile	ERR209731_1_kneaddata_taxonomic_profile	ERR209732_1_kneaddata_taxonomic_profile	ERR209739_1_kneaddata_taxonomic_profile	ERR209740_1_kneaddata_taxonomic_profile	ERR209743_1_kneaddata_taxonomic_profile	ERR209744_1_kneaddata_taxonomic_profile	ERR209745_1_kneaddata_taxonomic_profile	ERR209746_1_kneaddata_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02345	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02345	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	64.27569	0	0	0	0	0.73203	0	7.06024	8.25149	1.38299	1.97814	1.45091	8.72444	6.43925	0.09828	0.07179	0.71175	0.80725	10.17601	9.47445	1.58754	1.20436	18.87345	2.31012	2.67356	3.61951	3.22349	25.99171	18.19665	11.09908	10.38467	0	0	0.0969	0.08616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	64.27569	0	0	0	0	0.73203	0	7.06024	8.25149	1.38299	1.97814	1.45091	8.72444	6.43925	0.09828	0.07179	0.71175	0.80725	10.17601	9.47445	1.58754	1.20436	18.87345	2.31012	2.67356	3.61951	3.22349	25.99171	18.19665	11.09908	10.38467	0	0	0.0969	0.08616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0.28493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0.28493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens|t__Alloscardovia_omnicolens_unclassified	0.28493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	57.64749	0	0	0	0	0.73203	0	7.05208	8.24479	1.38299	1.97814	1.45091	8.72444	6.43854	0.09828	0.07179	0.71175	0.80725	10.17601	9.47445	1.58754	1.20436	18.85828	2.31012	2.67356	3.61951	3.22349	25.99171	18.19665	11.09908	10.38467	0	0	0.0969	0.08616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.34122	0	0	0	0	0.44449	0	3.8741	4.56226	0	0	0	0	0	0	0	0.68809	0.78828	0	0	0	0	0	0	0	0.00537	0	0	0	2.14546	1.99393	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0.34122	0	0	0	0	0.44449	0	3.8741	4.56226	0	0	0	0	0	0	0	0.68809	0.78828	0	0	0	0	0	0	0	0.00537	0	0	0	2.14546	1.99393	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0	0	0	0	0.02203	0	0.75216	0.91913	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9212	0.00127	0.006	2.25727	1.95226	18.06946	12.70893	5.47497	4.67447	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	0	0	0	0	0	0.02203	0	0.75216	0.91913	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9212	0.00127	0.006	2.25727	1.95226	18.06946	12.70893	5.47497	4.67447	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	10.09057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12997	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	10.09057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12997	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0.40067	0.4144	0	0	0	0	0	0	0	0	0	0.69375	0.58383	0	0	0	0	0	0	0	0	0	0.61482	0.64602	0	0	0	0
